,increase in FAR,effect of green recov,effect of reconversion rate on Policy,effect on non resi reconv of policy,Austerity effect on inflation,Housing finance effect on household spendings,effect on relocation rate,additional relocation housing factor,Housing Affordability Rating,People with No Settlements,Illegal Slum Population,Urban Non Residential Area,Green Area
0,4.2818209977625585,1.075890849895701,3.463667480162432,1.0517527416769803,1.008950390884135,4.923011350938845,4.173359391561398,4.888677489001156,9.878745079040527,12888157.0,600000.0,35.239463806152344,2.506441116333008
1,4.5455419321411865,1.4624955242032736,3.780272797711791,1.041242740477238,1.0963224763565549,4.9913677158686856,3.5277918697600716,4.910073422530629,9.661088943481445,13120285.0,600000.0,37.3649787902832,1.9064288139343262
2,4.5455419321411865,1.4624955242032736,4.506345208260336,1.041242740477238,1.0963224763565549,4.9913677158686856,3.5277918697600716,4.910073422530629,9.661088943481445,13126139.0,600000.0,37.8371467590332,1.902494192123413
3,4.157496019571911,1.0210426866685978,3.437214937998438,1.0857185660577848,1.042868069493157,4.949507811382286,1.9988420374795282,3.7941291751098607,9.633005142211914,13709039.0,600000.0,34.77593231201172,2.54801344871521
4,4.863127607327634,1.0185228406549212,3.824930948419756,1.01610148475639,1.0049950866305564,4.409055866426086,3.0171239905189267,4.566820321408649,10.943647384643555,13467466.0,600000.0,38.53541564941406,2.6007094383239746
5,2.1176185921233195,1.037586846211785,4.419225323323398,1.6722384748434234,1.042862296517381,4.964241245921423,3.582132656672974,4.884253450027833,9.632566452026367,12810284.0,600000.0,16.023113250732422,2.5181853771209717
6,4.688716780743759,1.00081762274622,4.5501284499275325,1.1927934475641893,1.0423804307617273,4.943704226873408,3.0200607030155546,4.110086559362735,9.644481658935547,13327163.0,600000.0,30.862043380737305,2.6103155612945557
7,4.5518404439793905,1.310637894605986,3.9344984628410233,1.004452290012194,1.0416995318341105,4.613166432553168,3.2882740728169324,4.832185836170669,10.253864288330078,13275557.0,600000.0,38.876922607421875,2.116978883743286
8,3.4746823235190805,1.0056601265387817,4.590496303327953,1.1119578463951303,1.002116730451497,4.619441624573886,3.648651011641722,4.871914351358817,10.512175559997559,13010628.0,600000.0,33.078670501708984,2.6156115531921387
9,4.863127607327634,1.0226325392829858,3.8032503807602445,1.0119262357261234,1.0113902526790244,4.994189539690158,3.101593417021828,4.876234828916756,9.736407279968262,13118939.0,600000.0,38.417640686035156,2.6135425567626953
10,3.9675877867513463,1.0727852988448487,4.592672979586886,1.1119578463951303,1.0626699090289142,4.984441862669385,3.648651011641722,4.222482359289981,9.643046379089355,13145872.0,600000.0,33.83437728881836,2.46817946434021
11,4.220226210802341,1.2275185818315621,3.8032503807602445,1.0119262357261234,1.0603819918869544,4.994189539690158,3.101593417021828,4.960913852140664,9.641489028930664,13153007.0,600000.0,37.372581481933594,2.2489824295043945
12,3.6941614466238057,1.0056601265387817,4.592660126816375,1.0973845791237973,1.0018878643650437,4.386731589080542,3.8760377921138587,4.971986359355212,11.018980026245117,13054776.0,600000.0,33.9611701965332,2.6270782947540283
13,3.472909697483019,1.0708246692848682,4.590496303327953,1.1119578463951303,1.043392040718407,4.992006634571708,3.648651011641722,4.954472541574157,9.63205623626709,12913954.0,600000.0,33.08317565917969,2.5007896423339844
14,3.472909697483019,1.0708246692848682,4.5904967075865635,1.0971724646486711,1.043392040718407,4.992006634571708,3.648651011641722,4.954472541574157,9.63205623626709,12915150.0,600000.0,33.59599304199219,2.500105381011963
15,3.4746823235190805,1.5674116855110003,4.981475301001845,1.1119578463951303,1.0426974438955765,4.997834362884095,3.648651011641722,4.883154122562933,9.631500244140625,12949112.0,600000.0,34.222190856933594,1.7440242767333984
16,3.472909697483019,1.0708246692848682,4.613249960942953,1.065856615201033,1.043392040718407,4.862444021437575,3.648651011641722,4.954472541574157,9.779067993164062,12955318.0,600000.0,34.733394622802734,2.5000994205474854
17,3.9675877867513463,1.0727852988448487,4.592672979586886,1.0590798907545622,1.0626699090289142,4.984441862669385,3.648651011641722,4.222482359289981,9.643046379089355,13146830.0,600000.0,35.86991500854492,2.4657742977142334
18,2.0499738087228336,1.019203149099552,4.60874905337495,1.077532093497923,1.0061663947206163,4.937366317078089,3.4906572026376845,4.999421198984335,9.871628761291504,12754969.0,600000.0,30.95947265625,2.548527717590332
19,3.4372651959566918,1.0005550164618513,4.590491855747709,1.1119578463951303,1.0426974438955765,4.82060496843006,3.648651011641722,4.726709909925777,9.855419158935547,13016395.0,600000.0,33.10577392578125,2.613403558731079
20,3.5544504702930073,1.0184267466718808,4.495843011132724,1.7187816217653138,1.0429743566798406,4.99171778000145,3.638177043636013,4.8366971990115175,9.631826400756836,12953934.0,600000.0,17.878570556640625,2.6090919971466064
21,4.472071407497452,1.0433282047779708,3.9102786858745486,1.0026077656099086,1.0604484002666548,4.629599185203146,4.43204730856592,4.570351487844954,10.128299713134766,13120288.0,600000.0,38.57093811035156,2.547128677368164
22,2.0499738087228336,1.019203149099552,4.60874905337495,1.0817197332822606,1.0061663947206163,4.943925692504977,3.4906572026376845,4.999421198984335,9.85986328125,12753074.0,600000.0,30.807649612426758,2.548527717590332
23,3.762080516363318,1.004328349211266,4.590496303327953,1.7700071192940223,1.0106127615191227,4.988415557860917,3.648651011641722,4.872136814542191,9.751559257507324,12914471.0,600000.0,16.946430206298828,2.6466383934020996
24,2.0499738087228336,1.0611373493038954,4.6086676781903595,1.1947972102062017,1.0061663947206163,4.957481308614177,3.6375487884200677,4.997569473453188,9.835637092590332,12719190.0,600000.0,27.203126907348633,2.472996950149536
25,1.9840027561376758,1.0611373493038954,4.60874905337495,1.1756195459573853,1.0061663947206163,4.9859195461651415,3.404635883480077,4.998382798480394,9.785253524780273,12754738.0,600000.0,27.63486099243164,2.4688668251037598
26,2.0499738087228336,1.0198200319349366,4.60874905337495,1.0382571335281325,1.0061663947206163,4.95584041652774,3.3984798312467492,4.99798357582401,9.838565826416016,12771750.0,600000.0,32.324832916259766,2.5475845336914062
27,3.4372651959566918,1.0269868940317868,4.538044913008495,1.111578510784066,1.0426974438955765,4.958126669529956,3.648651011641722,4.98033595212889,9.632651329040527,12913581.0,600000.0,32.88359451293945,2.582751989364624
28,3.4746823235190805,1.0048396507069939,4.590496303327953,2.281801045269201,1.0392274579944352,4.947654320372895,3.648651011641722,4.999368201951354,9.651190757751465,12908409.0,600000.0,9.691540718078613,2.662600040435791
29,4.472071407497452,1.5866453524518183,4.580031641053772,1.025671080893923,1.0428475464889921,4.767004043935865,4.084830814297107,4.782879987804571,9.950783729553223,13051647.0,600000.0,38.33939743041992,1.7319759130477905
30,4.472071407497452,1.5866453524518183,4.4406061748339845,1.004452290012194,1.0415986790343446,4.9460715370342,3.2882740728169324,4.782879987804571,9.643803596496582,13164408.0,600000.0,39.3282470703125,1.731716275215149
31,2.0499738087228336,1.0198200319349366,4.60874905337495,1.0157533103636076,1.0061663947206163,4.776767215012078,3.3984798312467492,4.99798357582401,10.16984748840332,12829569.0,600000.0,33.1437873840332,2.5467193126678467
32,3.7703679071423175,1.0055548847367282,4.613367933821187,1.7700071192940223,1.0297273911866747,4.988415557860917,3.648651011641722,4.872136814542191,9.632509231567383,12932231.0,600000.0,16.920692443847656,2.644608736038208
